date,year,month,day,etc_etId,etc_est,etr_agrimet,etr_etId,etr_est,etr_ce,etc_agrimet
1/1/03,2003,1,1,0.78,1.496167302,1.27,1.28,1.50,0.95,1.02
1/2/03,2003,1,2,0.45,0.888722897,0.76,0.74,0.89,1.22,0.51
1/3/03,2003,1,3,0.91,0.264980525,1.78,1.49,1.77,0.96,0.76
1/4/03,2003,1,4,0.73,0.200713784,1.27,1.19,1.34,2.02,0.76
1/5/03,2003,1,5,0.56,0.16375339,1.02,0.91,1.09,3.13,0.76
1/6/03,2003,1,6,0.53,0.155398652,1.02,0.86,1.04,1.80,1.02
1/7/03,2003,1,7,0.69,0.194137409,1.27,1.13,1.29,1.74,1.02
1/8/03,2003,1,8,0.71,0.20455803,1.27,1.17,1.36,1.98,1.02
1/9/03,2003,1,9,0.35,0.155238792,1.02,0.91,1.03,1.29,0.76
1/10/03,2003,1,10,0.21,0.142677546,1.02,0.78,0.95,0.71,0.51
1/11/03,2003,1,11,0.31,0.19279094,1.02,0.95,1.10,0.73,0.51
1/12/03,2003,1,12,0.19,0.178932726,1.02,0.91,1.03,0.85,0.51
1/13/03,2003,1,13,0.53,0.190609068,1.02,0.87,1.11,0.92,0.51
1/14/03,2003,1,14,0.43,0.225984916,0.76,0.7,0.84,1.34,0.51
1/15/03,2003,1,15,0.87,0.478635669,1.52,1.43,1.58,1.64,1.27
1/16/03,2003,1,16,0.22,0.250192791,0.76,0.7,0.86,1.26,1.02
1/17/03,2003,1,17,0.09,0.21075052,0.76,0.52,0.72,1.03,0.76
1/18/03,2003,1,18,0.01,0.085336559,0.25,0.14,0.30,0.80,0.25
1/19/03,2003,1,19,0.06,0.21374315,0.76,0.64,0.75,0.80,0.51
1/20/03,2003,1,20,0.02,0.082688048,0.25,0.22,0.29,0.73,0.25
1/21/03,2003,1,21,0.04,0.151150167,0.51,0.39,0.54,0.71,0.51
1/22/03,2003,1,22,0.41,0.201986596,0.76,0.67,0.73,0.84,0.00
1/23/03,2003,1,23,0.73,0.461809278,1.27,1.19,1.33,1.05,0.25
1/24/03,2003,1,24,0.42,0.344324142,0.76,0.74,0.93,1.18,0.76
1/25/03,2003,1,25,0.44,0.310072452,0.76,0.72,0.84,1.09,0.51
1/26/03,2003,1,26,0.86,0.735979617,1.52,1.4,1.57,1.18,1.02
1/27/03,2003,1,27,1.08,0.819381416,1.78,1.76,1.85,2.31,0.76
1/28/03,2003,1,28,0.33,0.590866566,1.27,1.27,1.42,2.26,1.27
1/29/03,2003,1,29,0.2,0.543224812,1.27,1.22,1.37,1.73,1.27
1/30/03,2003,1,30,0.22,0.642309368,1.52,1.61,1.69,1.92,0.51
1/31/03,2003,1,31,0.99,0.674022913,1.78,1.71,1.87,2.05,0.76
2/1/03,2003,2,1,0.51,1.028176546,2.54,2.48,2.57,4.81,1.52
2/2/03,2003,2,2,0.11,0.704735935,1.78,1.81,1.91,3.78,2.29
2/3/03,2003,2,3,0.41,0.540970981,1.52,1.51,1.56,1.69,1.52
2/4/03,2003,2,4,0.01,0.026652288,0.00,0.04,0.07,1.51,0.76
2/5/03,2003,2,5,0.26,0.353959173,0.76,0.72,0.79,1.15,1.02
2/6/03,2003,2,6,0.47,0.60705626,1.27,1.29,1.36,1.18,1.27
2/7/03,2003,2,7,0.42,0.525424123,1.27,1.16,1.20,0.87,1.02
2/8/03,2003,2,8,0.41,0.533067226,1.27,1.2,1.27,1.02,1.02
2/9/03,2003,2,9,0.43,0.703827024,1.78,1.69,1.75,1.36,1.02
2/10/03,2003,2,10,0.52,1.0248034,2.54,2.63,2.69,1.56,1.52
2/11/03,2003,2,11,0.18,0.643656909,1.78,1.73,1.84,2.21,1.27
2/12/03,2003,2,12,0.7,1.033964515,3.05,3.04,3.12,3.21,2.29
2/13/03,2003,2,13,0.53,0.274165392,1.02,0.86,0.90,1.53,0.51
2/14/03,2003,2,14,0.69,0.458825886,1.27,1.13,1.18,2.17,0.76
2/15/03,2003,2,15,0.95,0.788096905,1.52,1.56,1.66,2.63,1.52
2/16/03,2003,2,16,1.27,0.944286823,2.03,2.08,2.11,4.10,1.27
2/17/03,2003,2,17,1.29,1.060011148,2.29,2.11,2.20,2.83,1.78
2/18/03,2003,2,18,0.69,0.780533493,1.52,1.54,1.61,2.80,1.52
2/19/03,2003,2,19,0.53,0.844385982,1.78,1.78,1.85,1.93,1.78
2/20/03,2003,2,20,0.46,0.768201888,1.78,1.74,1.79,2.55,1.27
2/21/03,2003,2,21,0.84,1.478694797,3.56,3.51,3.57,2.65,2.54
2/22/03,2003,2,22,0.43,1.115325809,3.05,2.99,3.04,3.52,2.79
2/23/03,2003,2,23,0.49,0.886149287,2.54,2.62,2.66,2.30,2.54
2/24/03,2003,2,24,0.49,0.927431583,2.79,2.89,2.91,2.40,3.05
2/25/03,2003,2,25,0.27,0.595018327,2.03,2.01,2.02,1.47,1.78
2/26/03,2003,2,26,0.33,0.712351263,2.54,2.52,2.55,1.55,2.03
2/27/03,2003,2,27,0.34,0.667677104,2.54,2.5,2.54,2.24,1.78
2/28/03,2003,2,28,0.33,0.608760357,2.54,2.41,2.45,2.95,2.03
3/1/03,2003,3,1,0.6,0.30764398,1.27,1.26,1.30,1.55,1.27
3/2/03,2003,3,2,1.19,0.884011447,2.79,2.65,2.68,1.85,2.29
3/3/03,2003,3,3,0.54,0.736405373,2.29,2.2,2.23,2.59,1.52
3/4/03,2003,3,4,0.37,0.636008382,2.03,2.02,2.05,2.57,1.78
3/5/03,2003,3,5,0.55,0.95222789,3.30,3.21,3.24,2.43,2.29
3/6/03,2003,3,6,1.08,1.343436122,5.08,4.93,4.97,3.69,3.81
3/7/03,2003,3,7,0.5,0.877833724,3.56,3.47,3.51,3.38,2.29
3/8/03,2003,3,8,0.75,1.115361452,4.83,4.74,4.79,4.08,3.56
3/9/03,2003,3,9,0.45,0.729101837,3.30,3.39,3.42,4.47,2.29
3/10/03,2003,3,10,0.36,0.591020942,3.05,2.87,2.92,4.05,2.03
3/11/03,2003,3,11,0.6,0.789480209,4.06,4,4.06,4.77,3.05
3/12/03,2003,3,12,0.66,1.004109859,5.08,5.07,5.14,5.16,3.56
3/13/03,2003,3,13,0.99,1.365617037,7.37,7.38,7.44,7.32,4.32
3/14/03,2003,3,14,0.25,0.664867699,3.81,3.85,3.88,6.00,2.54
3/15/03,2003,3,15,1.71,0.51568377,3.05,3.01,3.09,5.86,2.29
3/16/03,2003,3,16,1.77,0.937689245,3.05,2.89,2.95,3.44,3.30
3/17/03,2003,3,17,1.64,1.045876503,3.05,3,3.03,5.00,3.05
3/18/03,2003,3,18,1.66,1.388546228,4.32,4.33,4.36,4.44,4.06
3/19/03,2003,3,19,0.93,1.114308834,3.81,3.86,3.90,3.77,3.30
3/20/03,2003,3,20,0.6,0.922061801,3.56,3.47,3.49,5.35,3.05
3/21/03,2003,3,21,0.66,1.119133592,4.57,4.47,4.51,4.02,3.56
3/22/03,2003,3,22,0.76,0.968355179,4.06,4.13,4.15,5.16,2.29
3/23/03,2003,3,23,0.82,0.96708554,4.06,4.09,4.11,5.21,3.81
3/24/03,2003,3,24,0.75,1.032661557,4.06,4.12,4.13,4.39,4.06
3/25/03,2003,3,25,0.56,0.837842166,3.56,3.51,3.53,3.95,3.05
3/26/03,2003,3,26,1.17,0.336894691,1.52,1.45,1.47,3.85,1.52
3/27/03,2003,3,27,2.48,1.159804463,3.05,2.92,2.94,3.85,3.30
3/28/03,2003,3,28,2.52,1.101010561,3.05,2.98,3.01,3.26,3.05
3/29/03,2003,3,29,3.46,1.398010015,4.06,4.07,4.10,3.57,3.56
